n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,precision,recall,f1,roc_auc,pr_auc
100,5.0,5,5,log2,balanced,0.7314285714285714,0.8648648648648649,0.7925696594427245,0.9892227540715661,0.887183902320085
100,5.0,5,5,log2,balanced_subsample,0.7549668874172185,0.7702702702702703,0.7625418060200669,0.9752422508901991,0.8790232403209507
100,5.0,10,1,sqrt,balanced,0.8471337579617835,0.8986486486486487,0.8721311475409836,0.9964793357071975,0.9628708577854547
100,5.0,10,1,sqrt,balanced_subsample,0.8611111111111112,0.8378378378378378,0.8493150684931506,0.9953921253867258,0.9520283952785797
100,5.0,10,1,log2,balanced,0.79375,0.8581081081081081,0.8246753246753247,0.9927361216508084,0.9212560002189257
100,5.0,10,1,log2,balanced_subsample,0.8974358974358975,0.7094594594594594,0.7924528301886793,0.9922253517015936,0.9209653618538846
100,5.0,10,2,sqrt,balanced,0.84,0.8513513513513513,0.8456375838926175,0.9929112427762535,0.9395052543401315
100,5.0,10,2,sqrt,balanced_subsample,0.8551724137931035,0.8378378378378378,0.8464163822525598,0.9945967836086627,0.9474008362561392
100,5.0,10,2,log2,balanced,0.7341040462427746,0.8581081081081081,0.7912772585669782,0.9885988850621681,0.8806931861868921
100,5.0,10,2,log2,balanced_subsample,0.7662337662337663,0.7972972972972973,0.7814569536423841,0.9763002743564299,0.8852065556389651
100,5.0,10,5,sqrt,balanced,0.8157894736842105,0.8378378378378378,0.8266666666666667,0.9934147160119082,0.9410229989382197
100,5.0,10,5,sqrt,balanced_subsample,0.8551724137931035,0.8378378378378378,0.8464163822525598,0.9945931352518825,0.94666492414953
100,5.0,10,5,log2,balanced,0.7314285714285714,0.8648648648648649,0.7925696594427245,0.9892227540715661,0.887183902320085
100,5.0,10,5,log2,balanced_subsample,0.7549668874172185,0.7702702702702703,0.7625418060200669,0.9752422508901991,0.8790232403209507
100,10.0,2,1,sqrt,balanced,0.8987341772151899,0.9594594594594594,0.9281045751633987,0.998693888272722,0.9853895098346963
100,10.0,2,1,sqrt,balanced_subsample,0.9084507042253521,0.8716216216216216,0.8896551724137931,0.9977927441480356,0.9755384290758595
100,10.0,2,1,log2,balanced,0.8413793103448276,0.8243243243243243,0.8327645051194539,0.9930024516957562,0.9341346874122779
100,10.0,2,1,log2,balanced_subsample,0.9318181818181818,0.831081081081081,0.8785714285714286,0.9963589399334539,0.9616661034918924
100,10.0,2,2,sqrt,balanced,0.891156462585034,0.8851351351351351,0.888135593220339,0.9967894460335065,0.9701415726493884
100,10.0,2,2,sqrt,balanced_subsample,0.9148936170212766,0.8716216216216216,0.8927335640138409,0.997081314575915,0.9689257420199794
100,10.0,2,2,log2,balanced,0.7295597484276729,0.7837837837837838,0.755700325732899,0.9836444165547836,0.8734993408220472
100,10.0,2,2,log2,balanced_subsample,0.8156028368794326,0.777027027027027,0.7958477508650519,0.9731079621738369,0.8627959044622907
100,10.0,2,5,sqrt,balanced,0.8263473053892215,0.9324324324324325,0.8761904761904762,0.9973148094098419,0.9719583060197378
100,10.0,2,5,sqrt,balanced_subsample,0.8904109589041096,0.8783783783783784,0.8843537414965986,0.996771204249606,0.9657513735343434
100,10.0,2,5,log2,balanced,0.7678571428571429,0.8716216216216216,0.8164556962025317,0.9893030179207285,0.895531167512954
100,10.0,2,5,log2,balanced_subsample,0.7770700636942676,0.8243243243243243,0.8,0.9813605452104373,0.8849003263459317
100,10.0,5,1,sqrt,balanced,0.9,0.9121621621621622,0.9060402684563759,0.998558899071858,0.984477084606439
100,10.0,5,1,sqrt,balanced_subsample,0.8979591836734694,0.8918918918918919,0.8949152542372881,0.9977890957912556,0.9754364203727999
100,10.0,5,1,log2,balanced,0.8513513513513513,0.8513513513513513,0.8513513513513513,0.9945420582569611,0.9458574479223463
100,10.0,5,1,log2,balanced_subsample,0.9398496240601504,0.8445945945945946,0.8896797153024911,0.9948047399451287,0.9546045270688216
100,10.0,5,2,sqrt,balanced,0.8986486486486487,0.8986486486486487,0.8986486486486487,0.997832876072617,0.9763973032601774
